Customer_ID,Gender,Age,Profession_Code,Work_Experience,Family_Size
3991,Male,21,53-0000,3,4
10634,Female,29,25-3031,5,2
6726,Male,24,41-0000,3,3
5542,Female,36,15-1244,9,3
5740,Female,25,53-7000,1,2
5893,Male,22,51-0000,4,3
9362,Male,38,11-0000,11,3
4231,Male,27,53-7065,2,4
6575,Male,32,25-3000,8,5
9915,Female,36,49-0000,10,1
7975,Male,42,27-4012,12,6
10602,Male,49,47-0000,19,2
6520,Female,18,37-2000,4,6
5224,Male,40,15-1250,9,6
3553,Female,30,51-0000,7,1
10305,Female,37,25-0000,8,1
6485,Male,19,37-2020,1,5
8299,Female,41,15-1242,10,6
3629,Male,33,15-1299,7,5
3674,Female,37,43-3000,7,4
2724,Female,36,51-4021,10,3
3907,Female,20,53-0000,4,0
5679,Male,40,11-0000,8,5
7925,Female,19,51-0000,3,1
8614,Female,18,35-0000,0,6
3713,Male,25,41-0000,1,0
2694,Male,41,19-5010,13,4
5154,Male,17,41-1010,3,3
5073,Male,46,11-0000,17,6
8441,Female,33,47-2000,5,5
9028,Male,28,43-0000,3,2
6331,Female,20,31-9000,2,1
7638,Female,35,49-0000,11,4
1154,Male,19,41-2010,1,3
5525,Male,24,53-3032,4,4
3414,Male,28,49-0000,3,5
3050,Male,42,11-1021,8,4
6056,Female,27,41-0000,6,5
5397,Male,26,31-1131,2,0
4497,Female,37,13-2020,9,6
9681,Male,19,31-0000,1,6
1107,Male,25,37-0000,0,3
6053,Male,29,43-0000,5,6
3234,Female,39,13-0000,9,4
1696,Female,22,33-9000,0,1
6235,Female,46,29-1051,11,5
5313,Female,43,11-9033,19,5
6670,Male,32,51-9031,6,2
2333,Female,25,35-0000,6,4
3312,Female,26,53-7060,3,2
3296,Male,36,43-5060,8,5
2192,Male,28,31-0000,5,2
6713,Female,25,39-9030,3,2
8818,Male,25,43-4051,8,1
5394,Male,28,43-4170,2,5
5267,Male,33,43-5031,2,3
4422,Male,22,31-9092,0,4
5171,Female,17,31-1120,0,2
4211,Female,25,37-0000,2,4
1566,Male,24,35-3040,0,2
7321,Female,24,43-9000,1,0
5670,Female,28,37-2011,6,5
8595,Female,25,53-0000,7,1
4170,Male,49,25-2021,22,5
4731,Male,55,29-1221,21,4
10252,Female,27,49-9070,6,2
3319,Male,28,49-9070,2,0
6593,Female,26,41-0000,1,1
8976,Male,25,53-7000,1,0
9889,Male,30,51-9080,3,3
5561,Female,35,17-0000,6,2
7691,Male,27,35-3011,6,4
1111,Male,25,43-0000,0,3
1526,Male,24,53-3030,3,1
6920,Male,44,15-1253,10,3
2614,Male,29,41-0000,6,4
6512,Female,49,15-1252,22,4
5736,Female,47,11-3031,22,4
4802,Male,48,49-0000,16,3
5838,Male,31,43-9061,4,5
2855,Female,30,51-9190,5,7
5424,Female,24,41-0000,5,0
6517,Female,17,53-0000,0,5
4997,Female,26,51-9111,7,4
6413,Female,21,45-0000,0,3
3993,Female,29,31-0000,7,4
4041,Female,23,43-0000,1,3
6943,Male,23,41-2030,1,0
2352,Female,25,33-0000,0,3
7315,Female,40,15-1210,11,3
7836,Male,16,43-9060,4,3
2477,Male,20,43-0000,1,3
10246,Male,37,29-1000,11,0
6003,Female,32,43-0000,5,6
9622,Male,45,25-1199,18,4
9684,Female,17,53-7060,0,2
5113,Female,16,39-9000,2,4
5100,Male,19,43-9040,4,3
1782,Male,28,43-3031,2,0
4770,Male,48,13-1141,21,7
3958,Male,25,35-0000,3,1
7257,Male,38,25-1000,13,3
2064,Female,40,29-1000,9,6
7003,Male,32,31-1100,4,2
8254,Female,24,51-2090,0,2
4359,Female,20,53-0000,2,1
8787,Female,39,25-2030,9,7
10963,Male,51,33-3051,20,5
6606,Female,37,29-0000,9,5
1862,Female,30,31-1100,2,5
2013,Male,30,37-2020,6,5
2876,Male,29,35-2014,9,2
10180,Female,41,43-1011,7,5
5226,Male,51,21-1010,18,4
2311,Male,33,15-0000,4,4
9497,Female,49,25-1000,18,5
8887,Female,21,25-3000,1,1
8147,Male,26,53-7050,2,0
6707,Male,34,53-7065,2,3
10112,Female,21,47-2000,1,2
5450,Female,44,41-4010,17,4
9440,Male,41,29-1000,11,6
1963,Female,34,35-2020,7,2
10717,Male,38,21-1020,6,3
7055,Male,43,17-2112,18,6
10958,Male,29,29-1140,2,6
7618,Male,16,35-3011,3,0
10214,Female,25,53-7000,0,2
2977,Male,45,29-1140,16,5
7505,Male,22,41-9090,4,1
2671,Male,39,15-1232,9,2
1663,Male,21,41-2011,0,2
4227,Male,39,47-0000,11,6
10999,Female,43,13-2010,21,4
4550,Female,42,29-0000,8,6
2535,Male,43,11-1020,11,6
2791,Female,25,53-0000,3,4
8209,Male,29,31-1100,6,2
10255,Female,17,43-2011,2,0
1323,Male,28,31-1120,5,7
9166,Male,27,35-3000,2,2
2209,Male,19,39-1000,3,1
4205,Male,24,31-1100,7,0
7976,Female,24,41-0000,3,2
7179,Female,26,35-0000,6,1
7695,Male,21,33-9032,0,1
4650,Female,45,25-1010,9,2
6302,Male,38,15-0000,12,3
5062,Male,25,41-0000,1,1
9017,Male,23,43-9060,6,3
2934,Female,20,51-9000,3,0
10553,Female,41,15-1200,10,1
5053,Male,19,31-9092,4,4
6062,Female,31,31-1131,3,7
2592,Female,33,43-0000,5,4
9549,Male,43,41-4000,9,3
3251,Female,43,13-1160,21,5
10052,Female,49,13-0000,19,6
9876,Male,32,35-2000,5,6
1360,Female,36,25-3099,7,4
9595,Female,36,11-9000,10,4
4343,Female,22,25-9040,0,5
10665,Male,40,15-1200,12,5
4190,Male,19,41-0000,1,3
1469,Female,18,51-2090,1,1
2669,Female,21,53-3032,2,2
2707,Female,17,43-5071,2,3
9867,Female,42,43-1010,9,6
6761,Male,26,31-1120,5,4
5752,Male,28,41-0000,4,3
7351,Female,36,27-3040,7,2
2697,Female,22,43-9000,1,5
9552,Female,47,23-1010,21,4
2894,Male,17,35-0000,1,6
8860,Male,42,41-4012,9,7
10751,Female,20,35-3000,3,1
4512,Male,46,11-9199,18,3
4374,Female,17,43-4050,3,0
5866,Female,25,43-4051,4,6
7857,Female,35,13-0000,3,3
3806,Female,19,25-3000,3,3
2157,Male,24,41-0000,4,3
3555,Female,26,53-0000,5,1
8747,Female,35,51-8013,11,2
3929,Female,37,27-0000,10,4
4191,Female,36,17-2051,10,3
7080,Male,43,13-0000,11,6
1550,Female,36,13-1121,7,4
7966,Female,43,41-4000,11,5
4952,Female,40,43-1000,11,3
9088,Female,34,41-1010,3,3
2829,Female,26,43-4000,7,1
9963,Male,20,51-9060,3,0
9567,Female,22,43-4171,3,3
1005,Male,24,37-3000,2,3
10107,Male,20,53-7060,0,4
2067,Female,26,41-0000,3,5
9092,Male,35,47-2070,8,5
5068,Female,50,41-3020,17,2
1808,Female,31,31-1100,3,5
9309,Male,20,37-2012,4,3
8474,Male,19,37-2010,1,3
8995,Female,40,29-1000,9,6
9219,Female,24,35-3010,1,0
8183,Female,44,29-1000,6,5
2220,Female,27,37-3010,6,5
5438,Female,29,21-1000,5,7
4547,Female,23,51-2090,2,0
1030,Male,36,13-1000,11,4
8699,Male,35,13-2011,8,1
1548,Male,38,13-0000,8,2
3424,Male,27,37-2000,2,3
1187,Male,34,13-2011,3,3
4659,Male,26,31-1100,6,3
9187,Male,27,43-4180,8,4
3417,Male,46,15-1200,23,4
6942,Female,32,53-0000,6,3
3329,Male,20,43-6010,0,0
7913,Male,23,53-7064,1,5
2030,Male,32,13-1080,2,5
6729,Female,42,49-0000,13,2
8060,Female,39,19-2041,8,5
10905,Female,30,17-0000,5,2
7983,Male,34,15-1232,7,4
8234,Male,25,41-2030,3,1
1837,Male,31,21-1000,6,4
1921,Female,35,41-3031,7,2
2007,Female,44,25-0000,15,7
4560,Male,22,41-2000,1,2
4186,Female,35,29-1141,10,3
7947,Male,25,43-9061,4,3
10008,Male,58,11-9041,21,6
3770,Male,42,13-0000,9,5
7813,Male,23,43-4180,4,3
9147,Female,45,41-4012,10,5
9374,Female,20,29-2052,2,5
5956,Male,30,41-2031,4,4
6353,Female,41,25-0000,10,2
9448,Female,38,29-1000,8,3
1665,Female,19,43-0000,4,5
8048,Female,34,51-9032,6,1
2027,Male,24,53-7060,3,4
10583,Male,27,31-0000,4,2
8032,Female,18,51-0000,0,4
7242,Male,39,25-2022,8,6
1333,Female,19,43-9060,2,2
7459,Male,23,41-2030,1,3
7781,Female,25,53-0000,4,2
1913,Female,32,51-4040,4,2
1253,Female,25,41-2010,9,1
9551,Male,50,29-1000,20,7
7758,Male,38,51-4120,8,3
8339,Female,22,35-0000,3,4
7747,Female,34,15-1254,4,4
9931,Female,32,11-1020,4,8
7726,Female,38,47-2152,7,4
4108,Male,41,13-2040,11,5
5917,Female,39,29-1141,10,7
2910,Male,23,47-2061,4,4
3216,Female,31,13-2011,2,1
7965,Female,18,43-4050,4,3
10470,Male,19,25-3030,5,6
7367,Female,40,27-0000,8,3
10757,Male,42,23-1011,11,6
9872,Male,33,39-2000,3,2
1827,Female,23,43-6000,6,1
7674,Male,22,41-2031,4,5
10075,Female,42,29-2061,11,4
4870,Female,31,49-3090,6,4
1174,Female,25,35-0000,1,4
8711,Male,27,53-0000,5,6
3368,Male,44,15-0000,22,1
8939,Male,20,35-0000,1,1
5146,Female,44,29-1070,19,5
4329,Female,18,53-3032,1,5
6623,Male,24,39-9000,0,3
6882,Female,39,49-0000,10,5
2389,Male,35,15-0000,10,4
5687,Female,41,13-1000,13,5
1261,Female,21,43-4130,0,2
2893,Female,52,29-1210,19,7
10162,Male,40,29-0000,9,5
8291,Male,34,43-6011,9,4
2136,Male,31,25-9000,5,4
5088,Female,22,35-0000,0,2
3107,Female,16,31-1120,2,4
9734,Male,29,31-9000,4,3
6645,Male,33,43-0000,11,3
5193,Female,18,25-9000,0,5
10980,Male,21,41-0000,3,5
1739,Male,37,13-2000,9,2
7391,Female,40,11-0000,8,6
8372,Female,26,43-0000,5,4
1266,Female,43,49-9020,10,4
1076,Female,20,39-5000,1,4
8973,Male,38,29-1000,8,6
8016,Male,43,11-1021,9,6
3425,Male,26,25-9000,8,4
5562,Female,50,15-0000,19,5
1471,Female,36,35-3020,5,6
1034,Male,47,15-1250,19,6
4281,Female,20,37-0000,2,3
9811,Female,45,23-1000,11,3
8238,Female,34,41-4010,7,4
7607,Female,44,15-1252,10,7
2634,Female,43,13-1161,10,5
2448,Male,16,31-1131,1,4
8638,Female,22,43-4000,4,5
3619,Male,17,35-3031,2,1
9529,Male,25,13-2082,2,0
6970,Female,47,11-1000,19,3
5056,Male,46,17-2000,8,7
1430,Female,34,27-1029,5,3
8104,Male,35,37-2000,10,4
2775,Female,25,31-0000,1,1
1877,Female,24,35-1000,3,1
6621,Male,23,49-9000,2,5
6547,Male,26,43-0000,2,0
2488,Female,30,31-1100,3,3
6322,Male,23,53-7050,0,0
9932,Female,30,53-3030,6,1
5206,Female,36,41-0000,9,5
2754,Male,31,43-9061,7,4
5674,Female,18,49-9000,1,2
9007,Male,22,31-9090,4,4
9254,Male,23,35-9020,0,2
3081,Male,31,51-0000,7,4
8028,Female,23,35-0000,2,5
10918,Female,19,41-0000,4,5
2949,Female,26,43-6014,6,4
6075,Female,32,39-5090,5,6
7149,Female,25,31-1100,4,3
2826,Male,44,29-1170,19,4
8996,Female,39,17-2000,6,6
5849,Female,27,35-3023,1,1
8768,Male,19,35-0000,2,3
7892,Female,41,29-1000,10,2
3120,Male,44,41-3000,21,7
1325,Male,21,35-3030,1,2
9562,Female,23,41-2031,0,2
6214,Male,33,53-7065,6,6
9363,Female,23,35-9000,3,2
9560,Female,16,35-2012,0,3
3159,Female,40,15-1200,11,3
9415,Female,35,29-1120,9,3
10491,Male,38,13-1000,9,4
3037,Female,19,31-1100,1,4
10552,Female,40,21-1020,11,6
2144,Female,40,13-1121,10,5
2656,Female,29,43-0000,4,5
10927,Female,28,35-3030,2,5
6963,Male,25,21-1000,3,1
3671,Female,40,17-2110,5,7
8881,Male,18,43-4000,0,3
10604,Male,24,51-9111,0,3
3000,Male,22,35-3020,3,2
3357,Female,16,51-9000,3,0
1268,Male,23,47-2000,3,4
1004,Female,16,51-3091,1,2
9640,Male,35,53-7000,4,5
10961,Male,37,43-4050,9,2
8828,Female,28,37-2011,2,4
1468,Male,22,43-9060,0,4
6344,Male,19,37-0000,0,2
3913,Female,20,41-2000,2,4
9510,Female,27,31-9090,7,0
5398,Female,32,25-2000,5,2
3561,Female,27,47-2000,5,4
7833,Female,31,11-0000,3,4
10651,Female,37,43-0000,9,6
2918,Male,44,51-8031,13,2
2290,Female,17,35-0000,1,4
3200,Male,30,35-2012,5,3
4981,Male,33,13-1000,5,4
10997,Female,23,41-2000,5,1
8774,Male,43,19-4031,11,5
2373,Male,25,37-2010,6,3
1882,Male,28,31-1100,8,2
1386,Female,47,13-2072,23,3
9011,Female,29,45-2000,6,0
3723,Male,18,53-0000,4,6
9921,Female,27,43-4170,7,1
6149,Female,25,35-3000,2,5
6895,Female,42,21-1010,8,4
9563,Female,24,43-0000,0,1
7328,Male,43,11-1000,10,4
8355,Male,51,11-1010,19,7
7911,Male,23,53-7051,5,1
9062,Female,21,31-0000,2,4
1603,Male,44,11-0000,10,5
5059,Male,23,37-3000,7,2
7541,Female,30,53-3000,4,3
3742,Female,45,11-1021,8,8
10133,Female,21,29-2057,1,2
4306,Female,27,47-2000,4,0
5581,Female,20,43-4031,0,5
5228,Male,29,39-9031,3,2
5493,Female,31,35-0000,5,2
1094,Female,30,35-3041,2,0
7918,Female,31,43-5060,3,1
2438,Female,41,15-0000,8,6
6433,Female,37,13-1000,8,5
2165,Male,24,43-4051,2,4
5364,Male,24,43-3000,0,1
5575,Female,24,35-3031,3,1
10752,Male,19,53-7000,0,2
9101,Male,38,25-1000,11,3
2789,Female,30,49-9000,7,4
3416,Male,39,25-2000,8,5
2870,Male,30,47-3000,4,2
8421,Female,42,29-1000,10,1
5996,Female,37,11-9141,12,5
10714,Male,28,13-2000,5,3
1406,Female,27,41-2000,7,4
8088,Male,18,41-2030,0,2
3439,Male,35,25-3031,0,4
3271,Male,53,47-2073,19,4
2703,Female,26,53-7060,4,5
5330,Male,36,11-9110,8,5
6326,Female,43,11-2021,8,4
10502,Female,19,41-0000,1,4
5921,Male,39,11-0000,8,1
10278,Female,17,43-0000,0,2
7574,Male,47,17-2141,22,7
10115,Male,23,51-0000,2,1
10838,Female,43,23-2011,9,7
2847,Female,23,31-9097,2,4
7944,Female,35,25-3099,13,1
5794,Male,35,17-2070,5,4
2781,Male,28,51-9160,3,4
6340,Female,27,43-4170,2,3
10340,Female,40,37-0000,9,6
5160,Male,25,31-9090,1,1
7933,Male,31,25-9040,4,3
3359,Male,21,53-7060,4,4
7613,Male,37,47-0000,10,1
1982,Male,44,43-5052,11,7
3391,Male,43,25-0000,7,5
9859,Female,51,29-0000,17,2
6087,Female,27,35-3031,2,3
4838,Female,50,13-0000,21,5
2461,Male,27,33-9032,7,5
1744,Male,38,49-0000,12,1
7439,Male,40,17-0000,11,2
2590,Female,33,47-2060,6,4
2842,Female,36,41-3000,7,3
4598,Female,24,35-3020,3,3
6232,Male,52,23-1010,23,5
6365,Male,16,31-0000,2,0
8318,Male,37,11-9039,6,6
2621,Male,33,33-3000,7,6
4079,Male,39,51-1010,9,1
7598,Male,40,49-9050,6,7
2433,Male,32,51-9000,4,1
9538,Male,22,49-9000,1,3
7463,Female,26,43-9060,4,0
2921,Female,41,29-1141,11,8
7453,Male,27,43-4050,8,2
10245,Female,18,43-4171,1,0
1781,Male,29,39-1000,6,0
7228,Male,29,35-0000,5,1
4894,Male,25,41-2010,4,1
10610,Female,25,53-7065,2,2
10848,Female,24,31-1100,5,4
4998,Female,24,53-7000,4,2
5931,Female,18,53-0000,3,3
8667,Male,42,29-1141,10,7
1940,Female,38,29-1140,10,2
4810,Female,34,35-2010,5,2
7434,Male,47,13-1075,20,4
7943,Male,25,43-4160,2,0
9159,Male,23,35-3023,5,5
4614,Female,25,31-0000,1,1
10996,Male,21,41-0000,0,5
9344,Male,43,13-2010,7,2
2000,Male,37,29-1140,10,5
6105,Male,26,41-2010,4,2
8726,Male,21,35-3020,0,3
10332,Male,22,35-3023,3,2
9525,Male,42,49-0000,10,6
6710,Female,22,41-0000,4,0
2335,Male,45,29-0000,20,5
9897,Female,35,13-2000,7,5
7956,Male,40,13-2000,8,2
1538,Female,38,15-1200,7,4
4462,Female,45,15-0000,18,4
4006,Male,26,21-2020,3,3
4366,Female,27,29-2052,2,3
5528,Female,29,43-4051,6,4
6047,Female,23,43-6010,0,5
10678,Female,26,49-3000,7,0
5288,Female,38,11-0000,6,2
9130,Male,33,31-2021,12,3
4254,Male,32,43-9000,5,3
7037,Male,27,43-5071,6,0
9605,Male,23,43-0000,2,2
9359,Female,25,41-2030,3,2
9143,Male,38,25-2030,12,4
8347,Male,49,17-0000,20,7
7358,Female,45,47-0000,22,7
6468,Female,17,41-3041,2,1
4309,Male,21,51-0000,1,4
8029,Male,31,11-9111,3,2
4417,Male,31,13-1040,4,1
7815,Male,59,11-2021,18,5
3520,Male,32,37-2000,2,4
1984,Female,39,41-4000,15,7
7495,Female,24,41-0000,3,2
9580,Female,18,43-0000,1,3
8613,Male,53,11-3020,20,2
4619,Male,35,41-0000,7,5
10463,Male,24,43-0000,5,4
9029,Male,31,11-0000,4,1
4185,Male,38,23-0000,10,5
2031,Male,38,25-1000,9,2
6118,Female,24,31-1100,5,4
6715,Male,27,41-2000,4,1
9241,Female,34,11-0000,4,1
4077,Female,37,11-1021,10,1
5040,Male,19,51-2000,1,0
7962,Female,42,13-1031,11,3
1186,Female,33,41-3030,9,3
3910,Female,41,15-1240,12,3
10106,Female,32,27-1000,4,0
9591,Female,32,33-3051,3,2
4968,Male,27,31-1120,8,2
10506,Female,26,49-9071,3,2
7677,Female,30,41-4010,3,3
1104,Male,35,29-1141,2,1
8005,Female,34,31-9090,4,2
8634,Female,44,25-2020,10,4
2388,Male,21,43-0000,3,3
5386,Male,21,51-3010,0,2
7769,Female,24,35-0000,0,2
6046,Female,24,53-7000,0,2
6676,Male,18,21-1000,2,3
10063,Female,28,43-6010,4,3
5279,Female,28,41-0000,5,4
7087,Female,23,35-3000,3,1
6887,Female,24,45-2090,4,0
9012,Female,36,35-2014,2,5
9693,Female,29,53-3032,4,1
5903,Female,36,21-1010,10,2
3448,Female,21,53-3053,1,4
5015,Female,32,25-1000,6,6
3260,Male,41,29-1140,10,4
7035,Female,18,31-9000,3,2
1147,Male,17,51-0000,0,3
7450,Female,31,51-2020,4,2
7374,Female,24,51-2000,4,2
9796,Male,35,11-0000,8,0
3438,Female,27,43-4000,2,1
7845,Male,40,25-1126,10,7
3472,Female,23,29-2000,4,0
7245,Female,32,53-3000,4,3
5090,Male,20,47-2000,2,3
6698,Male,22,51-2000,0,3
1777,Female,26,41-2030,4,5
3288,Male,34,13-0000,5,3
2487,Female,27,43-0000,2,0
4335,Male,33,13-1000,4,7
9926,Female,25,25-3000,6,3
10809,Male,42,13-1000,12,7
1779,Female,44,43-1000,18,6
2884,Male,37,37-1011,11,6
4292,Male,26,49-9000,3,1
5409,Female,24,53-7060,0,0
3643,Female,20,39-2000,2,2
10910,Male,23,49-3000,4,3
8098,Male,21,49-9070,4,4
2114,Male,23,25-3000,4,0
1194,Male,34,15-1253,11,4
7657,Female,30,41-2010,2,1
3503,Male,46,11-0000,20,1
10514,Male,39,29-1000,12,4
3255,Male,46,33-3051,20,2
10792,Female,38,47-2152,9,3
8602,Female,29,41-2030,4,5
6720,Female,21,49-9070,0,0
10276,Female,23,35-3023,2,6
9989,Male,43,11-9199,9,4
6319,Female,29,31-1100,5,6
1455,Female,37,11-9030,7,3
7072,Female,39,25-9030,8,5
2578,Female,24,47-2000,5,2
2875,Female,34,41-2000,6,2
6820,Male,25,39-9000,7,4
8687,Male,26,35-3023,3,2
5811,Female,27,53-3000,4,2
4657,Male,26,53-0000,2,3
6399,Female,40,25-1000,11,6
1293,Female,47,27-2000,21,5
5942,Female,45,47-0000,10,4
10041,Male,26,43-4000,3,3
3375,Male,34,13-0000,7,4
9419,Female,36,29-0000,11,1
9607,Male,30,35-9020,2,5
4742,Female,37,11-0000,13,2
5979,Male,18,43-6010,1,4
4548,Female,23,41-2020,3,0
4734,Female,29,35-0000,6,0
6974,Male,34,13-2070,11,2
9437,Female,22,41-2010,3,3
4856,Female,38,41-3021,12,2
9476,Male,24,43-6000,5,3
2902,Male,24,41-9022,0,0
6304,Male,32,41-2030,5,5
1327,Female,33,25-2000,8,6
3203,Female,28,41-0000,2,5
4567,Male,42,29-1141,12,2
9767,Male,27,35-2011,4,0
1353,Male,20,43-3000,0,3
10389,Male,36,29-1000,2,5
4168,Male,33,13-1075,4,2
5266,Male,23,35-0000,2,4
4481,Female,23,51-0000,1,5
4406,Male,18,35-1000,1,5
4130,Female,27,43-4050,5,5
9891,Male,41,29-1000,7,5
9066,Female,26,43-6010,3,4
8432,Female,42,15-0000,10,4
7098,Male,45,11-1020,7,6
2446,Female,21,51-4000,0,1
8597,Female,18,43-6000,1,4
2365,Female,24,47-2140,6,3
9122,Male,28,25-2011,3,4
9700,Male,38,13-1199,7,4
2419,Male,27,43-0000,6,1
8599,Male,21,41-0000,1,3
9470,Male,30,33-9032,5,2
10827,Female,51,43-6011,19,6
10313,Male,48,23-1010,17,5
4399,Male,37,25-1071,11,2
7788,Female,20,37-0000,2,2
10932,Male,20,53-0000,0,4
3321,Female,24,35-0000,4,0
3757,Male,49,29-1000,21,3
6476,Female,16,37-3011,3,4
7164,Male,37,21-1010,11,4
2415,Female,43,25-2021,17,4
8804,Female,25,21-1021,7,6
10841,Male,29,25-2000,4,1
10836,Female,30,19-4012,1,2
8353,Male,41,51-9111,9,8
2814,Female,28,11-1021,8,0
9696,Female,20,43-4051,0,2
5188,Male,32,13-1080,3,3
9785,Female,26,53-0000,2,2
5984,Female,28,53-7060,6,3
8670,Male,33,31-1100,6,2
7036,Female,16,51-2000,1,4
6807,Male,43,29-1141,9,5
9956,Male,39,27-3000,8,6
5130,Female,32,41-2020,4,4
3748,Male,19,33-0000,3,1
3295,Female,40,15-0000,9,4
3735,Male,36,11-9000,2,2
4418,Female,22,53-0000,3,5
7587,Female,25,37-3011,4,1
3973,Female,43,29-1141,11,6
5082,Male,24,43-0000,2,3
6892,Male,22,51-3020,4,0
3451,Male,35,11-9000,11,6
7185,Female,37,13-1082,9,2
2604,Male,35,11-9000,6,2
2426,Male,35,49-9041,2,4
1523,Male,41,11-9111,10,7
8363,Female,22,43-9060,3,5
10360,Female,42,11-9000,8,3
10555,Male,39,15-1200,9,5
3857,Male,23,53-3053,4,3
10302,Male,22,53-3032,1,0
5314,Male,33,43-5070,3,6
8454,Female,37,43-1010,8,3
1974,Female,41,49-2022,8,3
8494,Female,36,13-0000,3,5
8305,Male,44,13-1000,21,5
7064,Male,21,35-0000,4,3
8184,Male,35,11-0000,12,4
6815,Female,39,43-6011,12,6
4761,Female,17,35-2010,3,1
7225,Female,46,25-2000,10,3
2384,Male,24,41-2030,3,4
4100,Male,28,45-2000,4,4
3816,Female,27,33-0000,3,2
6333,Female,31,29-1000,5,2
10904,Female,46,11-9199,17,4
9995,Female,21,43-4050,2,5
5872,Female,23,41-2000,0,4
3775,Male,42,15-1299,10,3
10563,Male,39,13-1020,8,5
3663,Male,29,43-9061,8,4
2851,Male,33,35-0000,2,6
1829,Male,35,39-0000,13,4
5352,Male,31,49-9000,4,0
4076,Male,47,11-1020,22,5
4403,Male,22,43-6014,1,2
4421,Female,39,11-0000,9,5
6834,Male,32,37-0000,3,5
8482,Male,29,41-2031,5,3
4106,Female,45,29-2060,20,1
9133,Male,45,29-0000,22,5
9424,Female,37,13-0000,8,6
2065,Male,58,29-1141,20,4
2752,Female,35,37-2011,3,3
8727,Male,19,43-0000,0,2
3596,Female,20,43-6000,0,0
7808,Female,16,47-2000,1,1
6159,Female,45,13-2051,18,6
6366,Male,38,41-3090,8,2
3337,Female,27,25-9045,2,4
8225,Female,41,29-0000,11,7
5744,Female,40,43-5060,9,8
6294,Male,21,35-3000,5,1
5631,Male,38,15-0000,10,5
6587,Male,16,31-1100,4,5
8952,Female,41,29-1141,9,3
1242,Male,23,47-2000,0,5
9169,Female,41,13-1150,10,6
